feature,m1_rank,m2_rank,m1_mean_abs,m2_mean_abs
Amount Received,4.0,3.0,0.3750672022500502,0.43938764953085646
Amount Paid,3.0,2.0,0.5146671886175348,0.5417863772863799
From Bank,2.0,5.0,1.0039897030157285,0.15784899215683354
To Bank,5.0,7.0,0.22536985897964673,0.1224326923352717
Receiving Currency,7.0,9.0,0.1756505057422128,0.04492517087425593
Payment Currency,9.0,8.0,0.15862871427842382,0.06292900438445558
Payment Format,1.0,1.0,1.2458759735223117,1.0298706950869825
hour,6.0,6.0,0.2025405082315683,0.14161258398628135
day_of_week,8.0,4.0,0.16744963254178719,0.1841645065018867
is_weekend,10.0,10.0,0.039025455940660154,0.0304445522239648
