,rank,mean_abs_shap,family,share_%
Payment Format,1,1.0298706950869825,transaction,17.636689834254334
Amount Paid,2,0.5417863772863799,transaction,9.278172821314369
from_g_pagerank,3,0.5069274866613418,graph_sender,8.681209100671683
Amount Received,4,0.43938764953085646,transaction,7.524579278492097
from_g_out_degree,5,0.370436596613857,graph_sender,6.343782174696783
to_g_in_weighted,6,0.3550467222234007,graph_receiver,6.080228271757844
from_g_net_flow,7,0.2904145508262785,graph_sender,4.973392660565767
to_g_in_degree,8,0.23310626150687644,graph_receiver,3.991979626405553
from_g_in_degree,9,0.2106368431821747,graph_sender,3.607187473721371
to_g_out_weighted,10,0.1954775813964385,graph_receiver,3.3475828461630415
day_of_week,11,0.1841645065018867,transaction,3.153844744924956
from_g_out_weighted,12,0.17030053575862428,graph_sender,2.916422170385689
to_g_net_flow,13,0.16629795873404887,graph_receiver,2.847877439618117
From Bank,14,0.15784899215683354,transaction,2.7031876220971487
from_g_two_hop_out,15,0.14641970027852655,graph_sender,2.5074592876135293
hour,16,0.14161258398628135,transaction,2.4251367014403606
To Bank,17,0.1224326923352717,transaction,2.096678185514833
to_g_pagerank,18,0.10577442167924424,graph_receiver,1.8114028066376795
to_g_out_degree,19,0.09323966859940656,graph_receiver,1.5967432835803799
from_g_in_weighted,20,0.08844873196040805,graph_sender,1.5146977763912999
from_g_clustering,21,0.08810000575942575,graph_sender,1.508725787992035
Payment Currency,22,0.06292900438445558,transaction,1.0776686211207667
to_g_two_hop_out,23,0.049988755182473504,graph_receiver,0.8560649162653341
Receiving Currency,24,0.04492517087425593,transaction,0.7693502769230738
is_weekend,25,0.0304445522239648,transaction,0.5213675146582119
to_g_clustering,26,0.013346965175662083,graph_receiver,0.2285687767937358
