case,df_index,model,feature,value,shap,base_value
1_both_correct,3732458,M1,Amount Received,14655.44,1.2455919102465123,-6.121311574536939
1_both_correct,3732458,M1,Amount Paid,14655.44,1.6291219280650693,-6.121311574536939
1_both_correct,3732458,M1,From Bank,17854.0,0.29149937620975835,-6.121311574536939
1_both_correct,3732458,M1,To Bank,1467.0,0.4599714240841422,-6.121311574536939
1_both_correct,3732458,M1,Receiving Currency,12.0,0.33875598424783676,-6.121311574536939
1_both_correct,3732458,M1,Payment Currency,12.0,0.1784372443796019,-6.121311574536939
1_both_correct,3732458,M1,Payment Format,0.0,6.2194369463411565,-6.121311574536939
1_both_correct,3732458,M1,hour,13.0,0.40685861122554345,-6.121311574536939
1_both_correct,3732458,M1,day_of_week,5.0,0.5953776155297237,-6.121311574536939
1_both_correct,3732458,M1,is_weekend,1.0,0.1730522171378834,-6.121311574536939
1_both_correct,3732458,M2,Amount Received,14655.44,1.0318959884134529,-6.330572602670499
1_both_correct,3732458,M2,Amount Paid,14655.44,1.1618884649465326,-6.330572602670499
1_both_correct,3732458,M2,From Bank,17854.0,0.19683128310047324,-6.330572602670499
1_both_correct,3732458,M2,To Bank,1467.0,0.13800522463496237,-6.330572602670499
1_both_correct,3732458,M2,Receiving Currency,12.0,0.08334566947683925,-6.330572602670499
1_both_correct,3732458,M2,Payment Currency,12.0,0.020634944139019354,-6.330572602670499
1_both_correct,3732458,M2,Payment Format,0.0,5.531881844374511,-6.330572602670499
1_both_correct,3732458,M2,hour,13.0,0.23786633951283875,-6.330572602670499
1_both_correct,3732458,M2,day_of_week,5.0,0.33903245723879083,-6.330572602670499
1_both_correct,3732458,M2,is_weekend,1.0,0.23135810590174516,-6.330572602670499
1_both_correct,3732458,M2,from_g_pagerank,3.884370289320454e-06,0.5055740934543428,-6.330572602670499
1_both_correct,3732458,M2,from_g_in_degree,1.0,0.025420772970683174,-6.330572602670499
1_both_correct,3732458,M2,from_g_out_degree,0.0,-0.4213454778100277,-6.330572602670499
1_both_correct,3732458,M2,from_g_in_weighted,2010.5900000000001,-0.28236276951152833,-6.330572602670499
1_both_correct,3732458,M2,from_g_out_weighted,656.14,0.23413653283038002,-6.330572602670499
1_both_correct,3732458,M2,from_g_clustering,0.0,-0.009687342803808861,-6.330572602670499
1_both_correct,3732458,M2,from_g_net_flow,1354.4500000000003,0.46838284171171835,-6.330572602670499
1_both_correct,3732458,M2,from_g_two_hop_out,0.0,-0.4676568330777809,-6.330572602670499
1_both_correct,3732458,M2,to_g_pagerank,9.073138926112361e-07,-0.009432702914491529,-6.330572602670499
1_both_correct,3732458,M2,to_g_in_degree,1.0,-0.1250650016641157,-6.330572602670499
1_both_correct,3732458,M2,to_g_out_degree,4.0,-0.19595320397565957,-6.330572602670499
1_both_correct,3732458,M2,to_g_in_weighted,30370.630000000005,0.37448975060586237,-6.330572602670499
1_both_correct,3732458,M2,to_g_out_weighted,126452.71000000002,0.04217254818489891,-6.330572602670499
1_both_correct,3732458,M2,to_g_clustering,0.0,-0.0009804735140642152,-6.330572602670499
1_both_correct,3732458,M2,to_g_net_flow,-96082.08000000002,0.11356588460621424,-6.330572602670499
1_both_correct,3732458,M2,to_g_two_hop_out,5.0,0.13565778091462563,-6.330572602670499
2_m2_fixes_fn,2655559,M1,Amount Received,9667383.73,-1.155477095785318,-6.121311574536939
2_m2_fixes_fn,2655559,M1,Amount Paid,9667383.73,0.8199805295321858,-6.121311574536939
2_m2_fixes_fn,2655559,M1,From Bank,21749.0,0.12737884559188387,-6.121311574536939
2_m2_fixes_fn,2655559,M1,To Bank,1502.0,0.037235600241292556,-6.121311574536939
2_m2_fixes_fn,2655559,M1,Receiving Currency,4.0,0.027110639601014553,-6.121311574536939
2_m2_fixes_fn,2655559,M1,Payment Currency,4.0,0.024492296784301287,-6.121311574536939
2_m2_fixes_fn,2655559,M1,Payment Format,0.0,5.30886136200661,-6.121311574536939
2_m2_fixes_fn,2655559,M1,hour,19.0,0.0772314593163901,-6.121311574536939
2_m2_fixes_fn,2655559,M1,day_of_week,4.0,-0.34108574299680183,-6.121311574536939
2_m2_fixes_fn,2655559,M1,is_weekend,0.0,-0.019046250751707704,-6.121311574536939
2_m2_fixes_fn,2655559,M2,Amount Received,9667383.73,0.9557353783790313,-6.330572602670499
2_m2_fixes_fn,2655559,M2,Amount Paid,9667383.73,1.4499201287202594,-6.330572602670499
2_m2_fixes_fn,2655559,M2,From Bank,21749.0,0.1843826516297122,-6.330572602670499
2_m2_fixes_fn,2655559,M2,To Bank,1502.0,0.12113566681524389,-6.330572602670499
2_m2_fixes_fn,2655559,M2,Receiving Currency,4.0,-0.09847764521487988,-6.330572602670499
2_m2_fixes_fn,2655559,M2,Payment Currency,4.0,-0.01992189282042091,-6.330572602670499
2_m2_fixes_fn,2655559,M2,Payment Format,0.0,5.527520448126307,-6.330572602670499
2_m2_fixes_fn,2655559,M2,hour,19.0,0.1708570232304919,-6.330572602670499
2_m2_fixes_fn,2655559,M2,day_of_week,4.0,-0.28395553518872474,-6.330572602670499
2_m2_fixes_fn,2655559,M2,is_weekend,0.0,-0.0277317408635281,-6.330572602670499
2_m2_fixes_fn,2655559,M2,from_g_pagerank,6.005801398853943e-06,0.9285631291064783,-6.330572602670499
2_m2_fixes_fn,2655559,M2,from_g_in_degree,5.0,0.09894964516715846,-6.330572602670499
2_m2_fixes_fn,2655559,M2,from_g_out_degree,0.0,-0.4987820886274858,-6.330572602670499
2_m2_fixes_fn,2655559,M2,from_g_in_weighted,63015959.0,0.26143632169783815,-6.330572602670499
2_m2_fixes_fn,2655559,M2,from_g_out_weighted,23139.62,0.22872240592783782,-6.330572602670499
2_m2_fixes_fn,2655559,M2,from_g_clustering,0.0,-0.008380901676137,-6.330572602670499
2_m2_fixes_fn,2655559,M2,from_g_net_flow,62992819.38,-0.404940130932082,-6.330572602670499
2_m2_fixes_fn,2655559,M2,from_g_two_hop_out,0.0,-0.1688608079290134,-6.330572602670499
2_m2_fixes_fn,2655559,M2,to_g_pagerank,5.826555433980687e-07,-0.10068434549320955,-6.330572602670499
2_m2_fixes_fn,2655559,M2,to_g_in_degree,1.0,0.13788071027251136,-6.330572602670499
2_m2_fixes_fn,2655559,M2,to_g_out_degree,1.0,0.1703431815300428,-6.330572602670499
2_m2_fixes_fn,2655559,M2,to_g_in_weighted,146.59,1.4555545572805568,-6.330572602670499
2_m2_fixes_fn,2655559,M2,to_g_out_weighted,954.58,0.36884972880623534,-6.330572602670499
2_m2_fixes_fn,2655559,M2,to_g_clustering,0.0,0.006899843668797985,-6.330572602670499
2_m2_fixes_fn,2655559,M2,to_g_net_flow,-807.99,0.5642628594183771,-6.330572602670499
2_m2_fixes_fn,2655559,M2,to_g_two_hop_out,0.0,-0.00574885959882522,-6.330572602670499
3_m2_fixes_fp,5022147,M1,Amount Received,63031.55,0.5690689971172833,-6.121311574536939
3_m2_fixes_fp,5022147,M1,Amount Paid,63031.55,1.2494496296743456,-6.121311574536939
3_m2_fixes_fp,5022147,M1,From Bank,148348.0,0.23532639288365317,-6.121311574536939
3_m2_fixes_fp,5022147,M1,To Bank,148348.0,0.42163499156253237,-6.121311574536939
3_m2_fixes_fp,5022147,M1,Receiving Currency,8.0,0.24645500132843154,-6.121311574536939
3_m2_fixes_fp,5022147,M1,Payment Currency,8.0,0.8346418429791811,-6.121311574536939
3_m2_fixes_fp,5022147,M1,Payment Format,0.0,6.1561823086303775,-6.121311574536939
3_m2_fixes_fp,5022147,M1,hour,16.0,0.21888424272241536,-6.121311574536939
3_m2_fixes_fp,5022147,M1,day_of_week,5.0,0.5451266928756376,-6.121311574536939
3_m2_fixes_fp,5022147,M1,is_weekend,1.0,0.13788240170862992,-6.121311574536939
3_m2_fixes_fp,5022147,M2,Amount Received,63031.55,0.5749961809573869,-6.330572602670499
3_m2_fixes_fp,5022147,M2,Amount Paid,63031.55,0.8508682501740804,-6.330572602670499
3_m2_fixes_fp,5022147,M2,From Bank,148348.0,0.1707168065577571,-6.330572602670499
3_m2_fixes_fp,5022147,M2,To Bank,148348.0,-0.11191687064914731,-6.330572602670499
3_m2_fixes_fp,5022147,M2,Receiving Currency,8.0,0.046907324304193025,-6.330572602670499
3_m2_fixes_fp,5022147,M2,Payment Currency,8.0,0.1362309473604546,-6.330572602670499
3_m2_fixes_fp,5022147,M2,Payment Format,0.0,4.425719297840842,-6.330572602670499
3_m2_fixes_fp,5022147,M2,hour,16.0,0.1896357439294661,-6.330572602670499
3_m2_fixes_fp,5022147,M2,day_of_week,5.0,0.3819631484603451,-6.330572602670499
3_m2_fixes_fp,5022147,M2,is_weekend,1.0,0.09899436580046313,-6.330572602670499
