n_sample,n_background,model,spearman_vs_ref,rbo_vs_ref,top5_overlap,top1
5000,1000,M1,0.9878787878787878,0.9908206458712683,5/5,Payment Format
10000,500,M1,0.9999999999999999,1.0,5/5,Payment Format
10000,1000,M1,0.9999999999999999,1.0,5/5,Payment Format
10000,2000,M1,0.9878787878787878,0.9883436772968487,5/5,Payment Format
20000,1000,M1,0.9878787878787878,0.9908206458712683,5/5,Payment Format
5000,1000,M2,0.9986324786324786,0.9929456235093593,5/5,Payment Format
10000,500,M2,0.989059829059829,0.9114534996722388,4/5,Payment Format
10000,1000,M2,0.9999999999999999,1.0,5/5,Payment Format
10000,2000,M2,0.995213675213675,0.9336762026519317,5/5,Payment Format
20000,1000,M2,0.9986324786324786,0.9929456235093593,5/5,Payment Format
