budget_k,model,true_positives,precision_at_k,recall_at_k,m2_minus_m1_tp
100,M1,37,0.37,0.04083885209713024,
100,M2,22,0.22,0.024282560706401765,-15.0
250,M1,60,0.24,0.06622516556291391,
250,M2,55,0.22,0.06070640176600441,-5.0
500,M1,97,0.194,0.10706401766004416,
500,M2,84,0.168,0.09271523178807947,-13.0
1000,M1,163,0.163,0.17991169977924945,
1000,M2,130,0.13,0.1434878587196468,-33.0
2500,M1,243,0.0972,0.2682119205298013,
2500,M2,208,0.0832,0.22958057395143489,-35.0
5000,M1,338,0.0676,0.3730684326710817,
5000,M2,316,0.0632,0.3487858719646799,-22.0
10000,M1,458,0.0458,0.5055187637969095,
10000,M2,451,0.0451,0.4977924944812362,-7.0
