Payment Currency,Total,Illicit,Legitimate,Illicit_Rate_%
US Dollar,1895172,1912,1893260,0.101
Euro,1168297,1372,1166925,0.117
Saudi Riyal,89014,374,88640,0.42
Swiss Franc,234860,193,234667,0.082
Yuan,213752,184,213568,0.086
Rupee,190202,167,190035,0.088
Yen,155209,155,155054,0.1
Ruble,155178,133,155045,0.086
UK Pound,180738,132,180606,0.073
Canadian Dollar,140042,128,139914,0.091
Australian Dollar,136769,127,136642,0.093
Shekel,192184,95,192089,0.049
Mexican Peso,110159,92,110067,0.084
Brazil Real,70703,57,70646,0.081
Bitcoin,146066,56,146010,0.038
